"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Euro area","EMU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.39848625343062","8.99486314961592","10.6224388491065","11.7723547398182","11.4041555531724","11.6602864809535","11.6604524989173","11.2409236208331","10.4888579341097","9.50337959947668","8.44286898744612","8.69742326378935","9.02992552226806","9.29445887257322","9.15916420369069","8.43775696191067","7.54540979159824","7.55006026246433","9.63675584189225","10.17913057952","10.2631930600338","11.4197209169598","11.9991867842113","11.6293469470416","10.8901660643112","10.0285940585836","9.06619559634617","8.16123141639641","7.51635583043534","7.83252265261382","7.72367571142939","6.74422157053229","6.55916287126442",
"Eritrea","ERI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","1.3","1.1","1.5","1.5","2.49","3.04","4.8","2.9","5.2","6.97","8.61","11.4","14.17","16","17.49","20.25","21.64","21.259","20.607","19.854","17.331","16.273","15.929","17.697","22.156","24.209","22.675","22.142","20.698","18.673","15.475","13.785","10.348","11.146","11.283","11.09","9.146","8.452","8.232","11.255","17.857","19.86","21.391","24.789","26.094","24.441","22.057","19.635","17.224","15.255","14.105","15.532","14.781","12.917","12.179",
"Estonia","EST","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","0.637","1.468","3.681","6.544","7.561","9.659","9.915","10.369","9.51","11.573","13.36","13.135","10.026","11.288","10.248","8.033","5.915","4.592","5.455","13.548","16.707","12.328","10.021","8.631","7.352","6.412","6.882","5.807","5.412","4.514","6.956","6.178","5.571","6.378",
"Ethiopia","ETH","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","3.1","","","","","3.714","","","","","","2.497","","","","","","","","2.251","","","","","","","","3.935","","",
"European Union","EUU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.13608829341532","9.29489227654985","10.9512155713085","11.5190533327186","11.043685700097","11.1110175913363","10.8997421164928","10.4901502412492","10.192736775132","9.70156455676986","9.20817800075283","9.57999019578908","9.70704205347749","9.86028266958496","9.63949046122923","8.69228459540501","7.50604300609866","7.24170553255369","9.19997985451374","9.8651170256935","9.92065846048359","10.8633799145437","11.3365817939541","10.8184432004377","10.0182374996701","9.10211959760584","8.12801281124539","7.25392479665818","6.68232951295419","7.05004542378661","7.0173835142112","6.1405570544667","6.02835465080838",
"Fragile and conflict affected situations","FCS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","2.83","1.89","2.26","2.42","2.45","1.61","2.08","3.75","6.09","7.23","6.2","4.86","5.04","5.28","5.43","5.12","5","5.32","5.07","4.47","3.14","3.069","6.503","11.595","16.201","16.426","17.005","15.572","14.968","13.215","11.693","11.135","10.291","10.423","10.469","10.358","9.602","8.935","6.854","6.369","8.25","8.394","7.781","7.689","8.193","8.663","9.376","8.818","8.64","7.361","6.695","7.759","7.617","6.719","7.151",
"Fiji","FJI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","6.06","","","","","","","","","5.93","5.35","5.88","5.7","5.4","5.78","","","","","","","8.22","4.7","3.886","","","8.94","8.72","8.91","4.406","9","","6.17","","4.32","","","","","","","",
"France","FRA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","2.42","2.67","2.77","2.69","2.86","4.08","4.47","5.01","5.27","6.03","6.42","7.54","8.2","7.918","9.533","10.259","10.23","10.735","10.18","9.618","9.36","9.134","10.203","11.321","12.593","11.834","12.367","12.566","12.074","11.981","10.218","8.61","8.702","8.307","8.914","8.882","8.833","8.009","7.386","9.122","9.279","9.228","9.841","9.913","10.273","10.354","10.057","9.41","9.018","8.415","8.01","7.874","7.308","7.335",
"Faroe Islands","FRO","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.17","4","","3.85","3.7","3.46","1.8","1.73","2.36","3.94","6.39","5.29","3.03","4.03","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.863","","","","","","","","","",
"Gabon","GAB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.78","","","","","","","","","","","","16.91","","","","","20.39","","","","","","","","","","","","","",
"United Kingdom","GBR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","3.3","3.7","2.6","2.6","4","5.5","5.8","5.7","5.3","6.8","10.4","10.9","11.088","10.901","11.48","11.508","11.017","9.004","7.405","6.969","8.55","9.772","10.346","9.648","8.694","8.189","7.072","6.198","6.042","5.558","4.696","5.037","4.807","4.594","4.884","5.473","5.399","5.748","7.683","7.973","8.195","8.279","7.752","6.398","5.552","4.909","4.501","4.145","3.657","4.518","4.865","3.768","4.025",
"Georgia","GEO","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","5","14.53","13.8","10.82","11.16","12.59","11.51","12.62","13.81","13.57","13.28","17.87","20.71","20.203","19.632","19.653","19.416","17.439","16.506","16.604","13.939","12.667","11.565","11.734","","","",
"Ghana","GHA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.489","4.7","","","","","","8.2","10.1","10.456","","","","","","4.897","","","","5.384","","","2.173","","6.806","","3.369","","","","3.195","3.084","",
"Gibraltar","GIB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.549","","","","","","","","","","","","","","","","","5.018","","","","",
"Gambia, The","GMB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.346","","","","","","4.127","","","","","6.479",
"Guinea-Bissau","GNB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.127","2.413","","","2.666","",
"Equatorial Guinea","GNQ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","3.42","4.94","7.804","8.1","7.8","7.356","7.448","7.828","7.505","7.012","7.572","8.927","10.177","9.808","10.117","10.402","10.472","12.227","12.138","11.345","10.764","10.346","9.839","10.628","10.074","8.906","8.351","7.664","9.546","12.719","17.973","24.731","27.686","26.708","24.981","23.514","21.414","19.179","17.045","15.899","14.657","12.426","11.023",
"Grenada","GRD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.91","","","26.93","","16.89","","15.24","","","","","","","","","","","","","","","24.2","24.5","22.9","","","14.066","10.161","13.464","","","",
"Greenland","GRL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.92","10.08","11.56","9.03","11.02","9.53","8.82","10.3","10.44","9.25","8.4","","","","7.8","9.4","9.8","10.1","10.3","9.1","","","","","","","","",
"Guatemala","GTM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","2.15","2.27","","","","","2.4","","1.94","","","","","","","","","","","","","","2.807","2.971","","1.902","","","","3.497","4.126","2.765","3.017","2.717","2.506","2.583","2.462","2.283","2.193","","2.174","3.051","2.344",
"Guam","GUM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","9.6","8.21","8.79","","","","9.9","8.7","9.6","9.25","","","6.28","","4.27","2.81","2.831","3.509","3.837","5.527","7.6","7.9","8.283","9.67","7.74","13.95","15.32","13.213","11.39","","7.7","7","7.4","8.3","","9.3","8.2","13.3","12.2","11.5","7.6","6.9","5.4","","","","","","","",
"Guyana","GUY","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.09","","","","","11.9","","","","","","","","","","11.81","","","","10.7","","","","","","","","","","","","13.627","13.172","","","","",
"High income","HIC","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.66542973291464","7.20611480402871","7.7455677111329","8.05628595698801","7.83851346414709","7.87739381961685","7.87647935485314","7.96732300303607","7.82288191487276","7.12611177375602","6.95732151109314","7.28065716214061","7.40304703357263","7.17887331000107","6.84595183703862","6.37509038419287","5.75156893956679","5.97825402545493","8.11505802981924","8.26521845185554","7.95051095730883","7.83417870398499","7.75174267417314","7.144305281977","6.64714672780048","6.1424720198678","5.63120519296578","5.11677476151402","4.78120398032326","6.48199889946988","5.5635267678738","4.50111396164037","4.36536939147762",
"Hong Kong SAR, China","HKG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","9.17","5","4.3","1.59","2.09","2.4","1.53","1.85","2.11","1.92","3.18","2.82","1.73","1.36","1.07","1.32","1.8","1.96","1.96","1.9","3.22","2.83","2.22","4.58","6.25","4.92","5.09","7.28","7.86","6.74","5.58","4.77","4.01","3.56","5.26","4.329","3.422","3.285","3.4","3.296","3.314","3.392","3.124","2.805","2.917","5.808","5.174","4.318","2.949",
"Honduras","HND","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","8.1","","","","","","","","7.3","","","","12.12","11.4","","","4.78","4.58","3.06","","","3.24","4.37","3.32","4.02","3.85","","4","4.02","5.3","5.99","4.909","3.575","3.211","3.156","3.292","4.119","4.475","3.755","5.646","7.078","6.147","6.727","5.528","5.648","5.698","10.983","8.506","8.774","6.071",
"Heavily indebted poor countries (HIPC)","HPC","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.14","","","","","9.68","9.71","11.392","13.559","16.064","15.822","15.053","13.924","13.664","12.598","11.13","9.909","8.53","9.202","11.62","13.678","15.935","17.251","17.29","16.175","13.103","11.208","8.432","6.617","7.507","7.608","6.96","6.086",
"Haiti","HTI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","12.2","","","","","","","11.25","","","","","","","","","7.2","","","","","","","","16.8","","","","","14.1","","","","","","","","","","","",
"Hungary","HUN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","8.5","9.942","12.098","10.847","10.168","10.022","8.991","8.925","6.929","6.563","5.671","5.608","5.79","5.832","7.189","7.494","7.406","7.817","10.03","11.172","11.029","11.003","10.177","7.725","6.813","5.115","4.156","3.709","3.419","4.25","4.045","3.609","4.107",
"IBRD only","IBD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1150245972453","","5.11519653370731","5.28497449833584","5.73794143546835","6.02503739643859","5.35868156061381","6.08337250758661","6.64626717251979","6.47707439003677","6.33359719344161","5.76887338766774","5.98777345947935","5.69631564653248","5.72077123713532","6.00842758519429","4.97954800065576","5.60205242620912","4.92700719188862","5.33252695444275","5.37336850252877","","","5.61214378994617","6.33979200669405","6.16685095426438","6.97129523801761","6.44402866257344","","",
"IDA & IBRD total","IBT","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1391638503739","","","","","","5.35851346466615","","","","","5.6729221757689","","","","","4.80312439391407","","4.82947722294019","","","","","","6.18499998022976","6.10292233382243","6.72593781056794","6.31494584320598","","",
"IDA total","IDA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.59254789437565","","3.47504904188974","3.39038049948634","4.07580983187862","4.44833847674261","","","7.45118290245479","","","","",
"Indonesia","IDN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","1.92","1.29","2.48","","1.66","","2.85","","","2.1","2.59","2.55","2.74","","2.541","2.617","2.734","2.782","4.366","","4.861","4.684","5.459","6.358","6.078","6.082","6.604","6.658","7.303","7.945","7.551","8.06","7.209","6.106","5.614","5.153","4.468","4.336","4.049","4.514","4.301","3.783","4.387","3.59","4.255","3.827","3.462","3.308",
"IDA only","IDX","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","3.1","3.5","3.7","3.1","2.3","2.9","4.6","5.9","7.1","7.4","8","7.7","5.8","3.3","2","2.1","4.1","4.3","4.9","4.7","4.4","3.54","","","0.8","0.6","1.6","0.5","0.8","1","1.4","2.42","1.4","1.4","","","3.31","","2.598","1.98","","2.67","","","","","","","",
"India","IND","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.147","","","","","","2.731","","","","","3.804","","","","","3.115","","3.222","","","","","","7.652","6.51","7.859","6.38","4.822","4.172",
"Not classified","INX","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","14.764","16.438","17.92","18.02","18.056","17.431","16.092","14.077","15.771","15.021","15.571","14.544","11.97","11.692","10.192","7.699","5.804","4.318","3.684","4.216","4.478","4.491","4.237","4.355","4.98","6.774","12.609","14.534","15.354","15.451","13.735","11.858","9.908","8.374","6.713","5.741","4.95","5.623","6.364","4.501","4.288",
"Iran, Islamic Rep.","IRN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","","","","","11.1","","","","","9.1","","","","","","12.8","","10.3","11.813","11.519","10.772","10.63","12.113","13.679","12.491","12.275","10.595","10.68","11.166","12.618","12.232","12.195","10.74","9.687","9.282","9.085","",
"Iraq","IRQ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.646","","","","","7.965","","10.59","","10.82","13.02","","","","16.173","","",
"Iceland","ISL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.548","4.305","5.257","5.326","5.196","3.6","3.72","3.069","2.178","1.936","1.874","2.988","3.997","4.031","2.547","2.83","2.251","2.946","7.22","7.564","7.028","6","5.376","4.897","3.979","2.978","2.742","2.704","3.507","5.478","6.029","3.789","3.518",
"Israel","ISR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","4.47","3.82","3.46","2.7","2.64","3.05","","3.47","","3.42","2.78","4.59","4.92","4.81","4.32","5.69","6.33","","","","","12.241","13.387","14.08","12.741","9.934","8.782","8.455","9.751","10.749","11.183","11.102","11.812","12.888","13.505","13.029","11.342","10.707","9.379","7.704","9.534","8.48","7.139","6.762","6.137","5.789","5.176","4.723","4.14","3.917","3.731","4.169","4.812","3.695","3.371",
"Italy","ITA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","5.44","5.44","6.39","6.37","5.38","5.82","6.64","7.12","7.24","7.64","7.53","","9.03","8.531","9.404","9.404","10.535","10.719","10.973","10.99","9.781","10.097","9.321","10.212","11.086","11.661","11.864","11.985","12.117","11.681","10.834","9.599","9.211","8.869","7.866","7.731","6.777","6.076","6.723","7.749","8.363","8.359","10.655","12.149","12.683","11.896","11.688","11.211","10.61","9.952","9.164","9.497","8.069","7.627",
"Jamaica","JAM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","17.58","","","23.18","22.11","20.5","19.65","21.81","","23.72","","35.51","25","26.7","","","33.39","","","23.03","","15.72","15.74","15.75","16.32","15.34","16.23","16.01","16.35","15.5","15.74","15.539","14.93","14.191","11.731","12.205","11.263","10.325","9.745","6.666","7.314","7.63","8.034","8.695","9.698","9.046","13.511","8.634","7.399","5.47","4.987","6.501","5.188","4.083","3.022",
"Jordan","JOR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","6.6","","","13.3","14.8","","","","","","19.7","","14.6","13.7","","","","13.7","14.7","15.3","14.5","","14.8","14","13.1","12.7","12.9","12.5","12.9","12.2","12.6","11.9","13.075","15.275","18.12","18.257","16.801","19.213","19.837","18.2","",
"Japan","JPN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","1.7","1.4","1.3","1.3","1.1","1.2","1.3","1.3","1.2","1.1","1.1","1.2","1.4","1.3","1.4","1.9","2","2","2.2","2.1","2","2.2","2.4","2.6","2.7","2.6","2.8","2.8","2.5","2.3","2.095","2.059","2.158","2.539","2.89","3.15","3.383","3.374","4.078","4.677","4.748","5.02","5.386","5.251","4.734","4.446","4.192","3.888","4.002","5.068","5.103","4.55","4.358","4.038","3.589","3.385","3.132","2.822","2.467","2.351","2.809","2.828","2.6","2.6",
"Kazakhstan","KAZ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.4","1.11","7.54","10.98","12.96","13.01","13.13","13.46","12.75","10.43","9.33","8.78","8.4","8.13","7.79","7.26","6.63","6.55","5.77","5.39","5.29","5.2","5.06","4.93","4.96","4.9","4.85","4.8","4.89","","4.86","",
"Kenya","KEN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.004","","","","","","9.957","","","","9.6","","","","","","","2.757","","","5.014","","5.693","","",
"Kyrgyz Republic","KGZ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.54","7.84","12.55","9.92","8.53","8.11","8.27","8.1","8.22","8.41","6.007","5.824","4.67","4.296","4.051","3.364","3.249","2.655","3.67","4.295","4.63","4.096","3.94","",
"Cambodia","KHM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.963","0.638","","0.039","2.764","2.055","","0.909","7.53","","","1.257","0.825","0.579","0.771","0.577","1.279","0.438","0.692","0.393","0.716","0.141","","0.499","0.172","0.396","","",
"Kiribati","KIR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.65","","","","","30.58","","","","","9.335","","","","8.557","10.971","","","",
"St. Kitts and Nevis","KNA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","9.83","","","","","","","","","","","5.14","","","","","","","","","","5.12","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","4.86","4.51","4.57","4.59","4.04","4.15","4.18","3.808","3.806","3.167","3.812","5.196","4.507","4.363","4.068","3.801","3.983","3.81","3.088","2.519","2.569","2.454","2.407","2.513","2.878","2.476","2.063","2.048","2.608","6.963","6.342","4.063","3.699","3.046","3.348","3.42","3.482","3.254","3.013","2.959","3.363","3.324","2.992","2.812","2.747","3.082","3.546","3.65","3.653","3.824","3.746","3.931","3.639","2.857","2.675",
"Kuwait","KWT","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","1.02","","","","","1.91","","","","","0.8","0.7","","0.7","0.7","0.7","0.7","0.8","0.8","1.1","1.3","1.7","1.95","1.3","1.5","1.75","1.64","1.82","","","","2.9","2.2","2.16","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.57584471720142","6.43799483709537","","8.34379982037569","8.66309910971937","8.31895326258498","8.94279745331847","9.63285000653512","","8.92043503625581","9.30800444594571","8.88075066124869","8.3161174976668","8.09756358570202","7.01629794762117","7.29297762568503","6.66765013180129","7.70882821518409","","6.51438504294489","6.3614141920122","6.15416605004246","5.94631484616356","6.49767339740736","7.74137590069031","8.0972242538636","7.95428986934921","8.15508324463915","10.5659201979773","9.28446616323841","6.9050164702363","6.04491920788049",
"Lao PDR","LAO","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","","","","","","","","","","1.35","","","","","0.708","","","","","","","3.269","","","","","1.209","",
"Lebanon","LBN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.62","","","","","","","7.85","","","8.98","","6.355","","","","","","","","","","11.301","","","","",
"Liberia","LBR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.266","","","","2.079","","3.081","5.938","","","","","","",
"Libya","LBY","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.03","","","","","","","","","","","",
"St. Lucia","LCA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8","17","15.83","16.33","20.47","21.6","18.09","16.49","","20.39","22.18","20.97","18.7","16","14","12.72","15.37","","18.86","19.06","22.21","","","","19.136","19.329","15.613","25.225","20.514","15.934","",
"Latin America & Caribbean","LCN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.72292927483217","6.57716007861039","","8.45023759165445","8.9025547766556","8.40352860404312","8.9746114203322","9.72586092279094","","9.05609572159259","9.78395261602722","9.3930514891848","8.44126928904329","8.31814337528541","7.22909167777531","7.35178661321933","6.74510707403728","7.76766719689741","","6.58077369965384","6.3979792225021","6.17688716688004","5.99360131618941","6.50459386847509","7.57625759146028","7.92615747272486","7.94031904052061","8.12123147236537","10.5021347423176","9.27571515530409","6.95695281432059","6.17468033137959",
"Least developed countries: UN classification","LDC","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","0.52","0.76","1.36","1.02","0.9","1.6","1.34","1.78","1.78","1.27","1.12","1.45","2.11","2.4","2.66","2.46","2.01","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9","14.661","14.22","13.82","13.03","12.27","11.35","10.6","9.17","8.88","7.74","7.9","8.76","8.22","8.38","7.67","6.5","5.97","5.22","5.85","4.784","4.118","3.88","4.186","4.157","4.519","4.243","4.046","4.318","4.67","5.365","4.981","4.528","",
